COD_DIS;DISTRITO;COD_BAR;BARRIO;UBICACIÓN;EMPLAZAMIE;INFO_ADICI;Nº_EQUIPO;CARACTERÍ;OPERADOR;HORARIO;GESTIÓN;POINT_X;POINT_Y
05;Chamartín;5;Nueva España;Calle Mateo Inurria, 4;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;24;Convenio cesión;441796,669999999983702;4479756,429999999701977
06;Tetuán;6;Berruguete;Calle Ofelia Nieto, 64;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;24;Convenio cesión;439921,869999999995343;4479217,940000000409782
08;Fuencarral - El Pardo;6;Valverde;ES Repsol 96849 - Calle Abetal 8 - Las Tablas;Estación de servicio;-;2;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;24;Convenio cesión;443805,229999999981374;4483684,429999999701977
09;Moncloa - Aravaca;3;Ciudad Universitaria;ES Hipódromo(CR A-6, 8);Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;24;Convenio cesión;435728,679999999993015;4479193,769999999552965
09;Moncloa - Aravaca;6;El Plantío;ES Aravaca - El Plantío (Avenida Victoria 34);Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;24;Convenio cesión;430479,359999999986030;4480122,570000000298023
10;Latina;6;Cuatro Vientos;ES Repsol 33826 - Pº Extremadura 543 (A5 PK9);Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;24;Convenio cesión;432896,010000000009313;4470164,940000000409782
10;Latina;6;Cuatro Vientos;CRED PAU CARABANCHEL, Av. de la Peseta;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;24;Convenio cesión;434997,820000000006985;4468934,809999999590218
10;Latina;7;Águilas;Mercado de las Águilas - Calle de José Cadalso;Mercado municipal;Mercado Municipal;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;DRIVE THE CITY;24;Convenio cesión;434762,239999999990687;4469976,179999999701977
13;Puente de Vallecas;4;Palomeras Sureste;Avenida de la Albufera 319;Aparcamiento;Aparcamiento privado rotación;2;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;ECOLINERAS;24;Convenio cesión;446350,619999999995343;4470558,490000000223517
16;Hortaleza;6;Valdefuentes;Avenida María de Portugal 15;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;IBERDROLA;24;Convenio cesión;443849,630000000004657;4483208,549999999813735
17;Villaverde;3;Butarque;Avda. de los Rosales 147 M-301 km 4,1;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;24;Convenio cesión;443195,299999999988358;4465688,690000000409782
20;San Blas - Canillejas;6;Rejas;ES Repsol Barajas II (CR N-2 P.K. 12,60 D);Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;24;Convenio cesión;451967,109999999986030;4477750,540000000037253
01;Centro;6;Sol;Plaza de Jacinto Benavente 6;Aparcamiento;Aparcamiento público rotación. EMT;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;EMT;24;EMT;440341,549999999988358;4474015,139999999664724
04;Salamanca;1;Recoletos;Jardines del Descubrimiento - Acceso a Complejo de Aparcamientos subterráneos por Calle de la Armada Española;Aparcamiento;Aparcamiento público rotación. EMT;4;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;EMT;24;EMT;441474,080000000016298;4475110,190000000409782
04;Salamanca;5;Lista;Plaza de Marqués de Salamanca;Aparcamiento;Aparcamiento público rotación. EMT;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;EMT;24;EMT;442391,200000000011642;4475742,849999999627471
05;Chamartín;6;Castilla;Calle Hiedra 36;Aparcamiento;Aparcamiento público rotación. EMT;2;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;EMT;24;EMT;442442,159999999974389;4480402,500000000000000
01;Centro;1;Palacio;Plaza de la Cebada;Aparcamiento;Iniciativa privada;1;50 kW 2 conectores CC (CCS/Chademo);DRIVE THE CITY; ;Iniciativa privada;439744,748499999986961;4473589,839900000020862
